task_id,mode,conf,overlap_density_tier
HardSynthetic.HardCase068,A1,0.875,medium
HardSynthetic.HardCase071,A1,0.875,medium
HardSynthetic.HardCase069,A1,0.875,medium
HardSynthetic.HardCase070,A1,0.8571428571428571,high
HardSynthetic.HardCase072,A1,0.875,medium
HardSynthetic.HardCase060,A1,0.875,medium
HardSynthetic.HardCase074,A1,1.0,low
HardSynthetic.HardCase075,A1,0.875,high
HardSynthetic.HardCase078,A1,0.875,low
HardSynthetic.HardCase079,A1,0.875,medium
HardSynthetic.HardCase064,A1,0.875,medium
HardSynthetic.HardCase066,A1,0.875,medium
HardSynthetic.HardCase077,A1,0.875,medium
HardSynthetic.HardCase081,A1,0.875,high
HardSynthetic.HardCase063,A1,0.9583333333333334,low
HardSynthetic.HardCase076,A1,1.0,low
HardSynthetic.HardCase084,A1,0.0,medium
HardSynthetic.HardCase048,A1,0.875,low
HardSynthetic.HardCase082,A1,0.875,low
HardSynthetic.HardCase073,A1,0.875,low
HardSynthetic.HardCase085,A1,0.875,medium
HardSynthetic.HardCase088,A1,1.0,low
HardSynthetic.HardCase086,A1,0.875,high
HardSynthetic.HardCase083,A1,0.875,high
HardSynthetic.HardCase090,A1,0.875,medium
HardSynthetic.HardCase094,A1,0.9583333333333334,low
HardSynthetic.HardCase080,A1,0.0,low
HardSynthetic.HardCase089,A1,0.875,low
HardSynthetic.HardCase091,A1,0.9583333333333334,low
HardSynthetic.HardCase092,A1,0.875,high
HardSynthetic.HardCase087,A1,0.875,medium
HardSynthetic.HardCase098,A1,0.9583333333333334,low
HardSynthetic.HardCase096,A1,0.875,medium
HardSynthetic.HardCase103,A1,0.875,low
HardSynthetic.HardCase097,A1,0.875,high
HardSynthetic.HardCase099,A1,0.875,high
HardSynthetic.HardCase100,A1,0.875,high
HardSynthetic.HardCase101,A1,0.8571428571428571,high
HardSynthetic.HardCase107,A1,1.0,low
